estado;nombre;compromiso;terminado;delegada;fecha_inicio;plazo;fecha_realizacion;observaciones
Terminada;OneDrive;;1;0;15-02-2025;17-02-2025;17-02-2025;
Terminada;Resolución Teletrabajo Funcionaria Atacama;;1;0;10-02-2025;11-02-2025;12-02-2025;
Terminada;Solicitar Informe PAC Regionales a Coord.DAF (Resp. PC);;1;0;12-02-2025;15-02-2025;04-03-2025;
Terminada;Reunión con Gabinete -Tema Personas (Resp. PC);;1;0;12-02-2025;13-02-2025;13-02-2025;
Terminada;Agendar Reuniones con DR- Temas Regionales (resdp. DCR);;1;0;12-02-2025;19-02-2025;04-03-2025;
Terminada;Compromiso DAU-SSPP (Resp. PC);;1;0;12-02-2025;19-02-2025;18-02-2025;
Terminada;Reunión con TI(Resp. DCR)-Temas Regiones;;1;0;12-02-2025;13-02-2025;19-02-2025;
Terminada;Fechas Inauguración Sucursales(Resp. PC)-Constitución;;1;0;12-02-2025;17-02-2025;18-02-2025;
Terminada;Resolución Teletrabajo ISL;;1;0;12-02-2025;12-02-2024;12-02-2025;
Terminada;Convenios Regionales (Resp. DCR);;1;0;12-02-2025;19-02-2025;21-02-2025;
Pendiente;Multas-Dpto. Jurídico (Resp. DCR) (21-02-2025);;0;0;12-02-2025;24-02-2025;;
Pendiente;Fechas Inauguración Sucursales(Resp. PC)-(RM/Lota);;0;0;18-02-2025;21-02-2025;;
Terminada;Conversar y agendar reunión con Evelyn Arenas-Reportes (PC);;1;0;19-02-2025;21-02-2025;19-02-2025;
Terminada;Marcelo Triviño (DCR)-Reunión con DR;;1;0;19-02-2025;28-02-2025;17-03-2025;
Pendiente;Perfil Participación Ciudadana (DCR);;0;0;19-02-2025;28-02-2025;;
Terminada;Cuentas públicas (DCR);;1;0;19-02-2025;28-02-2025;04-03-2025;
Terminada;Solicitar a Andrea A. planillas con viáticos y Ausentismos;;1;0;20-02-2025;24-02-2025;20-02-2025;
Pendiente;Solicitar a Fabiola planilla con Dotación ISL;;0;0;20-02-2025;24-02-2025;;
Terminada;Estado Indicadores de Prevención (Ver con Camila Vergara);;1;0;05-03-2025;10-03-2025;17-03-2025;
Pendiente;Ver con Emanuel procesos de Compras (reprogramación );;0;0;05-03-2025;07-03-2025;;
Terminada;Planilla Repositorio (reemplazo manual de cortapalos);;1;0;13-03-2025;17-03-2025;17-03-2025;
Pendiente;Seguimiento compromisos con TI: Minuta en correo enviada a Pablo y TI;;;;18-07-2025;;;
Pendiente;Analizar con Paty y Bastián si habrá presupuesto para arriendo en Santa Cruz;;;;18-07-2025;;;
Pendiente;Seguimiento ficha de contrataciones de Arica: ejecutivo plataforma y JAO;;;;18-07-2025;;;
Pendiente;Caso definición cargo JAO Magallanes;;;;18-07-2025;;;
Pendiente;Delegados de SST;;;;18-07-2025;;;
